event_id,game_id,display_name,source_page_url,source_role,source_title,section_heading
call_of_duty.a_big_game_bounty_contract_marks_a_player_with_a_high_elimination_count_to_be_eliminated_in_a_limited_time_the_contract_is_shown_on_the_tac_map_at_the_end_of_the_first_playzone_and_will_not_target_the_same_player_several_times_in_a_row,call_of_duty,A Big Game Bounty contract marks a player with a high elimination count to be eliminated in a limited time. The contract is shown on the Tac Map at the end of the first playzone and will not target the same player several times in a row.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Contracts[]
call_of_duty.a_bounty_contract_tasks_the_team_with_killing_a_specific_player_who_is_marked_by_a_yellow_circle_revealing_their_approximate_position_on_the_map_when_a_player_is_marked_as_a_bounty_target_they_and_their_team_can_see_a_bar_on_their_heads,call_of_duty,"A Bounty contract tasks the team with killing a specific player, who is marked by a yellow circle revealing their approximate position on the map. When a player is marked as a bounty target, they and their team can see a bar on their heads",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Contracts[]
call_of_duty.a_cctv_near_metro_exits_may_have_spotted_something,call_of_duty,A CCTV near metro exits may have spotted something...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_contraband_contract_has_a_small_chance_of_occurring_after_completing_any_of_the_aforementioned_contracts_among_the_loot_the_team_is_rewarded_with_contraband_will_spawn_appearing_as_a_bright_blue_suitcase_it_must_be_picked_up_and_brought_to_a_highlighted_point_for_helicopter_extraction_within_a_time_limit_this_contract_rewards_the_team_with_an_unlock_for_one_of_many_unique_weapon_blueprints,call_of_duty,"A Contraband contract has a small chance of occurring after completing any of the aforementioned contracts. Among the loot the team is rewarded with, Contraband will spawn, appearing as a bright blue suitcase. It must be picked up and brought to a highlighted point for helicopter extraction within a time limit. This contract rewards the team with an unlock for one of many unique weapon blueprints.",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Contracts[]
call_of_duty.a_corrupted_image_could_give_a_clearer_picture,call_of_duty,A corrupted image could give a clearer picture...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_downed_aircraft_tried_to_contact_arklov_air_force_base,call_of_duty,A downed aircraft tried to contact Arklov Air Force base...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_hidden_code_was_found_in_the_prison,call_of_duty,A hidden code was found in the prison...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_meeting_took_place_downtown,call_of_duty,A meeting took place downtown...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_most_wanted_contract_marks_its_user_for_all_enemies_to_see_offering_a_reward_to_any_player_who_can_eliminate_them_in_a_limited_time_letting_the_time_run_out_completes_the_contract_rewarding_the_player_and_their_team_with_cash_as_well_as_redeploying_any_eliminated_teammates,call_of_duty,"A Most Wanted contract marks its user for all enemies to see, offering a reward to any player who can eliminate them in a limited time. Letting the time run out completes the contract, rewarding the player and their team with Cash as well as redeploying any eliminated teammates.",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Contracts[]
call_of_duty.a_prisoner_in_the_gulag_had_intel_on_the_chemical_s_origins,call_of_duty,A prisoner in the gulag had intel on the chemical's origins...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_radiological_threat_was_detected,call_of_duty,A radiological threat was detected...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_recon_contract_will_have_the_team_capture_a_set_point_in_the_map_by_standing_near_it_similar_to_a_point_in_domination_completing_the_contract_will_give_the_team_one_circle_peek_doing_more_recon_contracts_can_give_additional_circle_peeks_until_the_final_circle_is_revealed,call_of_duty,"A Recon contract will have the team capture a set point in the map by standing near it, similar to a point in Domination . Completing the contract will give the team one circle peek. Doing more Recon contracts can give additional circle peeks, until the final circle is revealed.",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Contracts[]
call_of_duty.a_scavenger_contract_will_mark_3_supply_boxes_located_near_the_player_s_location_one_at_a_time_and_task_the_team_with_looting_each_in_a_limited_time_an_armor_satchel_is_guaranteed_in_the_final_supply_box,call_of_duty,"A Scavenger contract will mark 3 Supply Boxes located near the player's location, one at a time, and task the team with looting each in a limited time. An Armor Satchel is guaranteed in the final supply box.",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Contracts[]
call_of_duty.a_secret_code_could_open_new_doors,call_of_duty,A secret code could open new doors...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_shipment_came_from_the_radiological_lab,call_of_duty,A shipment came from the radiological lab...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_shipment_was_moved_from_the_metro,call_of_duty,A shipment was moved from the metro...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_sketch_could_provide_a_monumental_clue,call_of_duty,A sketch could provide a monumental clue...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_supply_drop_contract_marks_an_area_for_a_supply_crate_filled_with_loot_and_with_the_exact_location_only_highlighted_for_the_team_which_activated_the_active_contract_the_green_smoke_of_the_marker_can_still_be_viewed_by_other_teams,call_of_duty,A Supply Drop contract marks an area for a Supply Crate filled with loot and with the exact location only highlighted for the team which activated the active contract. The green smoke of the marker can still be viewed by other teams.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Contracts[]
call_of_duty.a_supply_run_contract_will_have_the_team_travel_to_a_marked_buy_station_approximately_500m_away_in_a_limited_time_upon_completion_each_team_member_will_be_able_to_purchase_one_discounted_item_or_get_a_self_revive_kit_or_revive_a_teammate_for_free,call_of_duty,"A Supply Run contract will have the team travel to a marked Buy Station approximately 500m away in a limited time. Upon completion, each team member will be able to purchase one discounted item, or get a Self Revive Kit or revive a teammate for free.",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Contracts[]
call_of_duty.a_team_was_ambushed_at_the_train_station,call_of_duty,A team was ambushed at the train station...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_threat_revealed,call_of_duty,A threat revealed.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.a_top_secret_contract_will_randomly_select_one_of_the_other_contracts_to_be_completed_with_increased_rewards,call_of_duty,"A [TOP SECRET] contract will randomly select one of the other contracts to be completed, with increased rewards.",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Contracts[]
call_of_duty.active_measures_fueled_the_conflict,call_of_duty,Active measures fueled the conflict...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.aerial_pursuit_epic_calling_card,call_of_duty,"""Aerial Pursuit"" Epic Calling Card",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.all,call_of_duty,"""All",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.an_armistice_group_was_stationed_at_the_torsky_housing_area,call_of_duty,An Armistice group was stationed at the Torsky Housing Area...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.an_enemy_laptop_could_supply_intel_require_spotter,call_of_duty,An enemy laptop could supply intel... (Require Spotter),https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.ancient_ruins_legendary_dp27_weapon_blueprint,call_of_duty,"""Ancient Ruins"" Legendary DP27 Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.arm_3,call_of_duty,ARM 3,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.armor_box,call_of_duty,Armor Box,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Buy Station[]
call_of_duty.armor_plate_bundle,call_of_duty,Armor Plate Bundle,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Buy Station[]
call_of_duty.armored_vehicle_epic_calling_card,call_of_duty,"""Armored Vehicle"" Epic Calling Card",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.authoritarian_epic_ffar_1_weapon_blueprint,call_of_duty,"""Authoritarian"" Epic FFAR 1 Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.ball_and_chain_epic_weapon_charm,call_of_duty,"""Ball and Chain"" Epic Weapon Charm",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Modern Warfare[]
call_of_duty.battle_royale,call_of_duty,Battle Royale,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Buy Station[]
call_of_duty.battleroyale_icon_vg_wz,call_of_duty,BattleRoyale Icon VG WZ,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Battle Royale[]
call_of_duty.bear_trap_epic_weapon_charm,call_of_duty,"""Bear Trap"" Epic Weapon Charm",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Modern Warfare[]
call_of_duty.begin_the_search_for_the_uav,call_of_duty,Begin the search for the UAV.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.black_ops_cold_war,call_of_duty,Black Ops Cold War[],https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.blood_moon_legendary_emblem,call_of_duty,"""Blood Moon"" Legendary Emblem",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.blue_glitz_legendary_einhorn_revolving_weapon_blueprint,call_of_duty,"""Blue Glitz"" Legendary Einhorn Revolving Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.body_work_epic_emblem,call_of_duty,"""Body Work"" Epic Emblem",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.bomb_rider_epic_weapon_sticker,call_of_duty,"""Bomb Rider"" Epic Weapon Sticker",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.boonie_epic_knife_weapon_blueprint,call_of_duty,"""Boonie"" Epic Knife Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.box_cutter_epic_combat_knife_weapon_blueprint,call_of_duty,"""Box Cutter"" Epic Combat Knife Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Modern Warfare[]
call_of_duty.broadcast_the_abort_code_from_downtown,call_of_duty,Broadcast the abort code from downtown...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.bunker_09,call_of_duty,Bunker 09,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Bunkers[]
call_of_duty.bushwacker_legendary_padmavati_operator_skin,call_of_duty,"""Bushwacker"" Legendary Padmavati Operator Skin",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.caldera_after_the_november_28th_2022_relaunch,call_of_duty,"Caldera after the November 28th, 2022 relaunch.",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Caldera[]
call_of_duty.caldera_at_launch_during_season_one_of_vanguard,call_of_duty,Caldera at launch during Season One of Vanguard.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Caldera[]
call_of_duty.caldera_during_season_five_of_vanguard,call_of_duty,Caldera during Season Five of Vanguard.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Caldera[]
call_of_duty.caldera_during_season_four_of_vanguard,call_of_duty,Caldera during Season Four of Vanguard.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Caldera[]
call_of_duty.caldera_during_season_three_of_vanguard,call_of_duty,Caldera during Season Three of Vanguard.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Caldera[]
call_of_duty.caldera_during_season_two_of_vanguard,call_of_duty,Caldera during Season Two of Vanguard.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Caldera[]
call_of_duty.call_of_duty,call_of_duty,Call of Duty,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Call of Duty: Modern Warfare|Warzone[]
call_of_duty.call_of_duty_hq_social_icon,call_of_duty,Call of Duty HQ Social Icon.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Call of Duty: Modern Warfare|Warzone[]
call_of_duty.cargo_may_have_arrived_via_ports_of_entry,call_of_duty,Cargo may have arrived via ports of entry.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.checkout_epic_emblem,call_of_duty,"""Checkout"" Epic Emblem",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Modern Warfare[]
call_of_duty.chosen_cog_epic_weapon_sticker,call_of_duty,"""Chosen Cog"" Epic Weapon Sticker",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.cigars_epic_weapon_charm,call_of_duty,"""Cigars"" Epic Weapon Charm",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.cluster_strike,call_of_duty,Cluster Strike,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Buy Station[]
call_of_duty.comandante_epic_garcia_operator_skin,call_of_duty,"""Comandante"" Epic Garcia Operator Skin",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.combat_fatigue_epic_weapon_charm,call_of_duty,"""Combat Fatigue"" Epic Weapon Charm",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.combined_logo_used_in_conjunction_with_call_of_duty,call_of_duty,Combined logo used in conjunction with Call of Duty,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Call of Duty: Modern Warfare|Warzone[]
call_of_duty.common_no_attachment_included,call_of_duty,Common (No attachment included),https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Weapon Tiers[]
call_of_duty.communication_interference_tracked_to_western_bunker,call_of_duty,Communication interference tracked to Western bunker...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.communications_went_down_before_the_attack_follow_the_trail,call_of_duty,Communications went down before the attack. Follow the trail...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.computer_system_after_rebooted,call_of_duty,Computer system after rebooted.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Bunkers[]
call_of_duty.computer_waiting_for_a_reboot_in_bunker_11,call_of_duty,Computer waiting for a reboot in Bunker 11.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Bunkers[]
call_of_duty.covert_operation_epic_calling_card,call_of_duty,"""Covert Operation"" Epic Calling Card",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Modern Warfare[]
call_of_duty.cyber_skull_epic_emblem,call_of_duty,"""Cyber Skull"" Epic Emblem",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.dead_pharaoh_legendary_rpd_weapon_blueprint,call_of_duty,"""Dead Pharaoh"" Legendary RPD Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.direct_impact_epic_calling_card,call_of_duty,"""Direct Impact"" Epic Calling Card",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.don_t_back_down_epic_calling_card,call_of_duty,"""Don't Back Down"" Epic Calling Card",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Modern Warfare[]
call_of_duty.down_in_blazes_legendary_calling_card,call_of_duty,"""Down In Blazes"" Legendary Calling Card",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.dune_sentry_epic_emblem,call_of_duty,"""Dune Sentry"" Epic Emblem",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.dune_whisper_epic_pelington_703_weapon_blueprint,call_of_duty,"""Dune Whisper"" Epic Pelington 703 Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.dusk_legendary_calling_card,call_of_duty,"""Dusk"" Legendary Calling Card",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.endurance_epic_baker_operator_skin,call_of_duty,"""Endurance"" Epic Baker Operator Skin",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.epic_4_attachments,call_of_duty,Epic (4 attachments),https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Weapon Tiers[]
call_of_duty.evacuations_were_underway,call_of_duty,Evacuations were underway...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.excess_chemicals_were_being_stored,call_of_duty,Excess chemicals were being stored...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.expeditionary_force_legendary_double_barrel_weapon_blueprint,call_of_duty,"""Expeditionary Force"" Legendary Double Barrel Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.fallen_brush_epic_watch,call_of_duty,"""Fallen Brush"" Epic Watch",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
call_of_duty.find_the_location_in_the_message_ghost_sent_you,call_of_duty,Find the location in the message Ghost sent you.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.find_the_source_of_back,call_of_duty,Find the source of back,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.first_wave_legendary_wade_operator_skin,call_of_duty,"""First Wave"" Legendary Wade Operator Skin",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.florentine_cover_legendary_constanze_operator_skin,call_of_duty,"""Florentine Cover"" Legendary Constanze Operator Skin",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.follow_the_trail_left_by_arm_3,call_of_duty,Follow the trail left by ARM 3,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.fortune_s_keep_at_launch,call_of_duty,Fortune's Keep at launch.,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Fortune's Keep[]
call_of_duty.fractured,call_of_duty,Fractured,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.gas_mask,call_of_duty,Gas Mask,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Buy Station[]
call_of_duty.german_tourism_epic_weapon_sticker,call_of_duty,"""German Tourism"" Epic Weapon Sticker",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.ghost_tracked_arm_3,call_of_duty,Ghost tracked ARM 3,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.gold_hawk_legendary_welgun_weapon_blueprint,call_of_duty,"""Gold Hawk"" Legendary Welgun Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.golden_plunders_epic_weapon_sticker,call_of_duty,"""Golden Plunders"" Epic Weapon Sticker",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.good_company_epic_357_weapon_blueprint,call_of_duty,"""Good Company"" Epic .357 Weapon Blueprint",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Modern Warfare[]
call_of_duty.griffin_strike_epic_emblem,call_of_duty,"""Griffin Strike"" Epic Emblem",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Vanguard[]
call_of_duty.gulag_epic_emblem,call_of_duty,"""Gulag"" Epic Emblem",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Modern Warfare[]
call_of_duty.hardware_was_delivered_to_suite_320_entry_requires_an_access_code,call_of_duty,Hardware was delivered to Suite 320. Entry requires an access code...,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Intel Missions[]
call_of_duty.hawk_epic_weapon_charm,call_of_duty,"""Hawk"" Epic Weapon Charm",https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone,events,Call of Duty: Warzone | Call of Duty Wiki | Fandom,Black Ops Cold War[]
